movie_id,name,genres,overview
42,Dead Presidents (1995),Action|Crime|Drama,"This action film  directed by the Hughes brothers  depicts a heist of old bills  retired from circulation and destined by the government to be ""money to burn."" However  more broadly  it addresses the issues of Black Americans' involvement in the Vietnam War and their subsequent disillusionment with progress in social issues and civil rights back home in the United States  during the 1960's. "
43,Restoration (1995),Drama,An aspiring young physician  Robert Merivel found himself in the service of King Charles II and saves the life of a spaniel dear to the King. Merivel joins the King's court and lives the high life provided to someone of his position. Merivel is ordered to marry one of the King's mistresses in order to divert the suspicions of another one of his mistresses. He is given one order by the king and that is not to fall in love. The situation worsens when Merivel finds himself in love with his new wife. Eventually  the King finds out and relieves Merivel of his position and wealth. His fall from grace leaves Merivel where he first started. And through his travels and reunions with an old friend  he rediscovers his love for true medicine and what it really means to be a physician. 
44,Mortal Kombat (1995),Action|Adventure,"Based on the popular video game of the same name ""Mortal Kombat"" tells the story of an ancient tournament where the best of the best of different Realms fight each other. The goal   ten wins to be able to legally invade the losing Realm. Outworld has so far collected nine wins against Earthrealm  so it's up to Lord Rayden and his fighters to stop Outworld from reaching the final victory... "
45,To Die For (1995),Comedy|Drama,Suzanne Stone (Maretto) knows exactly what she wants. She wants to be a television newscaster and she is willing to do anything to get what she wants. What she lacks in intelligence  she makes up for in cold determination and diabolical wiles. As she pursues her goal with relentless focus  she is forced to destroy anything and anyone that may stand in her way  regardless of the ultimate cost or means necessary. 
46,How to Make an American Quilt (1995),Drama|Romance,Finn is a young graduate student  finishing a master's thesis  and preparing for marriage to her fiance Sam. But thoughts of the end of the free life  and a potential summer fling  intrude. She goes home to her grandmother  where  over the making of her wedding gift by a group of quilting bee friends  laughter  bickering  love  and advice lead her toward a more open eyed examination of her course. 
47,Seven (Se7en) (1995),Crime|Thriller,"A film about two homicide detectives' (Morgan Freeman and (Brad Pitt desperate hunt for a serial killer who justifies his crimes as absolution for the world's ignorance of the Seven Deadly Sins. The movie takes us from the tortured remains of one victim to the next as the sociopathic ""John Doe"" (Kevin Spacey) sermonizes to Detectives Somerset and Mills    one sin at a time. The sin of Gluttony comes first and the murderer's terrible capacity is graphically demonstrated in the dark and subdued tones characteristic of film noir. The seasoned and cultured but jaded Somerset researches the Seven Deadly Sins in an effort to understand the killer's modus operandi while the bright but green and impulsive Detective Mills (Pitt) scoffs at his efforts to get inside the mind of a killer... "
48,Pocahontas (1995),Animation|Children's|Musical|Romance,This is the Disney animated tale of the romance between a young American Indian woman named Pocahontas and Capt. John Smith  who journeyed to the New World with other settlers to begin fresh lives. Her powerful father  Chief Powhatan  disapproves of their relationship and wants her to marry a native warrior. Meanwhile  Smith's fellow Englishmen hope to rob the Native Americans of their gold. Can Pocahontas' love for Smith save the day  
49,When Night Is Falling (1995),Drama|Romance,Camille and Martin are in love and teachers at a christian college; they get the opportunity to get a better job  but they would have to marry for that. But when Camille's dog dies  she recognizes that her love for Martin is not even as big as the love for her dog. After that  Camille gets to know Petra  and Petra falls in love with Camille. They meet again  but Camille is very unsure about her feelings. When Martin is away for a weekend  Camille and Petra meet in the Circus where Petra is working as an acrobat. They spend the night together  but Martin finds out about it and is shocked. He has an argument with Camille  and she goes burying her dog in the snow  and falls asleep... 
50,"Usual Suspects, The (1995)",Crime|Thriller,Following a truck hijack in New York  five conmen are arrested and brought together for questioning. As none of them are guilty  they plan a revenge operation against the police. The operation goes well  but then the influence of a legendary mastermind criminal called Keyser S  ze is felt. It becomes clear that each one of them has wronged S  ze at some point and must pay back now. The payback job leaves 27 men dead in a boat explosion  but the real question arises now: Who actually is Keyser S  ze  
51,Guardian Angel (1994),Action|Drama|Thriller,Christine McKay is a cop. She and some other cops which includes her lover are pursuing some criminals. Her lover gets killed by a woman named Nina  who is later caught. Because of his death McKay is leaves the force. A few months later a man named Hobbs calls McKay. And she goes to see him  he tells her  he wants to hire her to protect him. It seems that Nina is his ex and he tells her she escaped. And Hobbs is worried she's coming for him. McKay goes to check it out and finds out it's true. She then goes back to Hobbs and finds Nina there but she doesn't do anything  instead she's looking for something but Hobbs claims not to know what she's talking about. So McKay stays to protect Hobbs and to get Nina. 
52,Mighty Aphrodite (1995),Comedy,Lenny and Amanda have an adopted son Max who turns out to be brilliant. Lenny becomes obsessed with finding Max's real parents because he believes that they too must be brilliant. When he finds that Linda Ash is Max' real mother  Lenny is disappointed. Linda is a prostitute and porn star. On top of that  she is quite possibly the dumbest person Lenny has ever met. Interwoven is a Greek chorus linking the story with the story of Oedipus. 
53,Lamerica (1994),Drama,Two Italian racketeers come to Albania just after the fall of the communists to set up a fictive firm and pocket the grants. They need a stooge. They choose an old one in a jail : Spiro. But the youngest italian  Gino  once alone with Spiro  encounter a few problems. Far from his roots  loosing his identity in deep Albania  he begins to change... 
54,"Big Green, The (1995)",Children's|Comedy,Another Disney underdog sports team of misfit kids (soccer this time) learns to play a new sport and become champions  while building self esteem  making friends and solving a variety of dramatic family crises  through the able assistance of a foreign exchange teacher and a former local sports hero as coaches. 
55,Georgia (1995),Drama,Sadie is desperately looking up to her older sister Georgia who is a famous C&W artist. Sadie wants to be a famous artist like her sister  but is always doing everything wrong. Her desperate need to be accepted by her sister is constantly complicated by her drug and alcohol problems. Georgia lives a very ordered life with husband  house and children  and Sadie does everything to get her attention. 
56,Kids of the Round Table (1995),Adventure|Children's|Fantasy,Eleven year old Alex and his fellow homemade heroes are having a backyard blast. Battles rage  knights fight and damsels distress in a cardboard Camelot of dirt bike steeds  aluminum foil sabres and plastic armor. The summer fun and fantasy soon become a marvelous  mystical reality with the touch of a sword. Malcolm McDowell  Michael Ironside and bright newcomer Johnny Morina star in a modern day adventure filled with medieval magic. One fateful afternoon  Alex comes across a sword sunk in stone   King Arthur's legendary Excalibur! The sword holds untold powers of strength  magic and wisdom. With one motion  Alex frees the sword  Merlin the Magician appears  and Alex discovers the awesome power he'd always dreamed about. But to misuse Excalibur is to lose Excalibur... as Alex soon discovers. Now with Merlin vanished  Alex must prove himself worthy of the sword to bring back the magic. He'd better act fast   his friends need his power now more than ever! 
57,Home for the Holidays (1995),Drama,After losing her job  making out with her soon to be ex boss  and finding out that her daughter plans to spend Thanksgiving with her boyfriend  Claudia Larson has to face spending the holiday with her family. She wonders if she can survive their crazy antics. 
58,"Postino, Il (The Postman) (1994)",Drama|Romance,Pablo Neruda  the famous Chilean poet  is exiled to a small island for political reasons. On the island  the unemployed son of a poor fisherman is hired as an extra postman due to the huge increase in mail that this causes. Il Postino is to hand deliver the celebrity's mail to him. Though poorly educated  the postman learns to love poetry and eventually befriends Neruda. Struggling to grow and express himself more fully  he suddenly falls in love and needs Neruda's help and guidance more than ever. 
59,"Confessional, The (Le Confessionnal) (1995)",Drama|Mystery,The year is 1952  in Quebec City. Rachel  16  unmarried  and pregnant  works in the church. Filled with shame  she unburdens her guilt to a young priest  under the confidentiality of the confessional. In the present year of 1989  Pierre Lamontagne has returned to Quebec to attend his father's funeral. He meets up with his adopted brother  Marc  who has begun questioning his identity and has embarked on a quest for his roots that would lead them to the Quebec of the 1950s. Past and present converge in a complex web of intrinque where the answer to the mystery lies. 
60,"Indian in the Cupboard, The (1995)",Adventure|Children's|Fantasy,On his ninth birthday a boy receives many presents. Two of them first seem to be less important: an old cupboard from his brother and a little Indian figure made of plastic from his best friend. But these two presents turn out to be much more magic than the rest... 
61,Eye for an Eye (1996),Drama|Thriller,Karen McCann's eldest daughter is raped and murdered whilst on the phone with her. When the case against Robert Doob  the perpetrator  is dismissed because of a technicality  she starts following him and sees how he checks out his next victim  a woman he delivers groceries to. She tells the police  but is only warned she must stop following Doob. When she tries to warn the woman  she is shooed out of the house. Doob  having found out that Karen is following him  threatens to do something to her youngest daughter. She then seeks help from a group of vigilantes connected to a support group  in order to shoot Doob. However  a friend from the support group turns out to be an FBI agent investigating the very vigilante activity Karen is involved in and warns her that she will go to jail for the rest of her life unless it is self defense. In the meantime  tension grows between Karen and her husband Mack  because he finds out she has secretly been taking self defense classes and has been learning how to use a gun. When Doob makes another victim and is again released for lack of evidence  she finds a way to lure him into her house and kill him in self defense. 
62,Mr. Holland's Opus (1995),Drama,Glenn Holland is a musician and composer who takes a teaching job to pay the rent while  in his 'spare time'  he can strive to achieve his true goal   compose one memorable piece of music to leave his mark on the world. As Holland discovers 'Life is what happens to you while you're busy making other plans' and as the years unfold the joy of sharing his contagious passion for music with his students becomes his new definition of success. 
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy,"Don't Be a Menace to South Central While Drinking your Juice in the Hood is a parody of several U.S. films about being in the 'Hood'  for instance ""Boyz n the Hood""  ""South Central""  ""Menace II Society""  ""Higher Learning"" and ""Juice"". We follow Ashtray as he returns to the place he grew up in and meet his father and his basket case friends. Crazy stuff happens. For example  Ashtray is older than his father and his best friend Loc Dog's grandmother is a trigger happy old lady who blames her eccentric looking kid for not being tough enough. "
64,Two if by Sea (1996),Comedy|Romance,Frank O'Brien  a petty thief  and his 7 year long girlfriend Roz want to put an end to their unsteady lifestyle and just do that _last_ job  which involves stealing a valuable painting. Frank takes Roz to an island on the coast of New England  where he wants to sell the painting and also hopes that their sagging relationship will get a positive push back up. Not everything goes as planned  as some thugs and the FBI try to recover the painting and Roz gets attracted not only to the landscape... 
65,Bio-Dome (1996),Comedy,"Bud and Doyle are two losers who are doing nothing with their lives. Both of their girlfriends are actively involved in saving the environment  but the two friends could care less about saving the Earth. One day  when a group of scientists begin a mission to live inside a ""Bio Dome"" for a year without outside contact  Bud and Doyle mistakingly become part of the project themselves. The two must then learn how to protect the Earth and help the scientists complete their mission. "
66,Lawnmower Man 2: Beyond Cyberspace (1996),Sci-Fi|Thriller,Jobe is resuscitated by Jonathan Walker. He wants Jobe to create a special computer chip that would connect all the computers in the world into one network  which Walker would control and use. But what Walker doesn't realize is a group of teenage hackers are on to him and out to stop his plan. 
67,Two Bits (1995),Drama,It's a hot summer day in 1933 in South Philly  where 12 year old Gennaro lives with his widowed mom and his ailing grandpa  who sits outside holding tight to his last quarter  which he's promised to Gennaro and which Gennaro would like to have to buy a ticket to the plush new movie theater. But grandpa's not ready to pass on the quarter or pass on to his final reward: he has some unfinished business with a woman from his past  and he enlists Gennaro to act as his emissary. 
68,French Twist (Gazon maudit) (1995),Comedy|Romance,Laurent is the local estate agent  a job that offers easy opportunties for his womanising. His wife beautiful wife Loli looks after his home and two children unaware of his many affairs. However  their world is turned upside down by the arrival of Marijo  an itinerant lesbian whose minivan breaks down nearby. The neglected Loli is drawn to the sensitive Marijo and when she learns of Laurent's infidelities  invites Marijo to move in with them. The arrangement takes an emotional toll on each of them  exacerbated by the arrival of a figure from Marijo's past. As they struggle with the situation and each other  all of their lives are changed forever. 
69,Friday (1995),Comedy,It is Friday and Craig Jones (Ice Cube) is unemployed  having  yesterday  been fired. He is lounging around his house with his friend Smokey (Chris Tucker)  a rather incompetent weed dealer. Smokey's problem is that he tends to smoke  rather than sell  his product. This has lead to trouble with Smokey's supplier  Big Worm  who now wants his money  or his product back  or Smokey is a dead man. Then there's Deebo  the local bully  plus Craig's jealous  psychotic girlfriend  Joi  and Debbie  the neighbour Craig has a crush on. A lot can happen while lounging around your house on a Friday. 
70,From Dusk Till Dawn (1996),Action|Comedy|Crime|Horror|Thriller,After a bank heist in Abilene with several casualties  the bank robber Seth Gecko and his psychopath and rapist brother Richard Gecko continue their crime spree in a convenience store in the middle of the desert while heading to Mexico with a hostage. They decide to stop for a while in a low budget motel. Meanwhile the former minister Jacob Fuller is traveling on vacation with his son Scott and his daughter Kate in a RV. Jacob lost his faith after the death of his beloved wife in a car accident and quit his position of pastor of his community and stops for the night in the same motel Seth and Richard are lodged. When Seth sees the recreational vehicle  he abducts Jacob and his family to help his brother and him to cross the Mexico border  promising to release them on the next morning. They head to the truck drivers and bikers bar Titty Twister where Seth will meet with his partner Carlos in the dawn. When they are watching the dancer Santanico Pandemonium  Seth and Richard fight with three bodyguards. But soon they discover that the bar is a coven of vampires and they need to fight until dawn to leave the place alive. 
71,Fair Game (1995),Action,Max Kirkpatrick is a cop who protects Kate McQuean  a civil law attorney  from a renegade KGB team out to terminate her. 
72,Kicking and Screaming (1995),Comedy|Drama,After college graduation  Grover's girlfriend Jane tells him she's moving to Prague to study writing. Grover declines to accompany her  deciding instead to move in with several friends  all of whom can't quite work up the inertia to escape their university's pull. Nobody wants to make any big decisions that would radically alter his life  yet none of them wants to end up like Chet  the professional student who tends bar and is in his tenth year of university studies. 
73,"Misérables, Les (1995)",Drama|Musical,"Henri Fortin is poor and iliterate former boxer. Ziman is rich Jewish lawyer from Paris. During WWII they meet when Fortin agrees to drive Ziman's family to Switzerland. Intrigued by Victor Hugo's novel ""Les Miserables""  Fortin asks the Zimans to read that book to him during the travel. Before the end of movie every main character would see his character in situations similar to those in Hugo's novel. "
